,0,1
93,"[""like the film's almost anthropologically detailed realization of early-'80s suburbia , it's significant without being overstated . "", '']",pos
94,"[""while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story . "", '']",pos
95,"['if nothing else , this movie introduces a promising , unusual kind of psychological horror . ', '']",pos
96,"['in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel . but in imax 3-d , the clich\xe9s disappear into the vertiginous perspectives opened up by the photography . ', '']",pos
97,"['writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear . ', '']",pos
98,"[' . . . a roller-coaster ride of a movie', '']",pos
99,"['i enjoyed time of favor while i was watching it , but i was surprised at how quickly it faded from my memory . ', '']",pos
100,"['chicago is sophisticated , brash , sardonic , completely joyful in its execution . ', '']",pos
101,"[""steve irwin's method is ernest hemmingway at accelerated speed and volume . "", '']",pos
102,"['a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters . ', '']",pos
103,"[""on the surface , it's a lovers-on-the-run crime flick , but it has a lot in common with piesiewicz's and kieslowski's earlier work , films like the double life of veronique . "", '']",pos
104,"['the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure . ', '']",pos
105,"[""if it's possible for a sequel to outshine the original , then sl2 does just that . "", '']",pos
106,"['a romantic comedy that operates by the rules of its own self-contained universe . ', '']",pos
107,"[""4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip . "", '']",pos
108,"[""the film is often filled with a sense of pure wonderment and excitement not often seen in today's cinema du sarcasm"", '']",pos
109,"[""it might be tempting to regard mr . andrew and his collaborators as oddballs , but mr . earnhart's quizzical , charming movie allows us to see them , finally , as artists . "", '']",pos
110,"['a feel-good picture in the best sense of the term . ', '']",pos
111,"['edited and shot with a syncopated style mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv puffery . ', '']",pos
112,"['a mostly intelligent , engrossing and psychologically resonant suspenser . ', '']",pos
113,"[""it's this memory-as-identity obviation that gives secret life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self . "", '']",pos
114,"[""hip-hop has a history , and it's a metaphor for this love story . "", '']",pos
115,"[""in scope , ambition and accomplishment , children of the century . . . takes kurys' career to a whole new level . "", '']",pos
116,"[""this may not have the dramatic gut-wrenching impact of other holocaust films , but it's a compelling story , mainly because of the way it's told by the people who were there . "", '']",pos
117,"['between the drama of cube ? s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results . ', '']",pos
118,"['a gentle , compassionate drama about grief and healing . ', '']",pos
119,"['somewhere short of tremors on the modern b-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes . ', '']",pos
120,"['digital-video documentary about stand-up comedians is a great glimpse into a very different world . ', '']",pos
121,"['unlike most teen flicks , swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity . ', '']",pos
122,"[""an enthralling , playful film that constantly frustrates our desire to know the 'truth' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to . "", '']",pos
123,"[' "" extreme ops "" exceeds expectations . good fun , good action , good acting , good dialogue , good pace , good cinematography . ', '']",pos
124,"['you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected . dramas like this make it human . ', '']",pos
125,"['a thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action . still , this flick is fun , and host to some truly excellent sequences . ', '']",pos
126,"[""it's obviously struck a responsive chord with many south koreans , and should work its magic in other parts of the world . "", '']",pos
127,"[""run , don't walk , to see this barbed and bracing comedy on the big screen . "", '']",pos
128,"['a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done . ', '']",pos
129,"[""it is nature against progress . in fessenden's horror trilogy , this theme has proved important to him and is especially so in the finale . "", '']",pos
130,"[""it's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru . "", '']",pos
131,"['this is what imax was made for : strap on a pair of 3-d goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space . ', '']",pos
132,"['merely as a technical , logistical feat , russian ark marks a cinematic milestone . ', '']",pos
133,"['[schweiger is] talented and terribly charismatic , qualities essential to both movie stars and social anarchists . ', '']",pos
134,"[""it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious . "", '']",pos
135,"['an original gem about an obsession with time . ', '']",pos
136,"['it will delight newcomers to the story and those who know it from bygone days . ', '']",pos
137,"['gloriously goofy ( and gory ) midnight movie stuff . ', '']",pos
138,"['the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity . ', '']",pos
139,"[""if your senses haven't been dulled by slasher films and gorefests , if you're a connoisseur of psychological horror , this is your ticket . "", '']",pos
140,"[""it's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene . "", '']",pos
141,"['it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times . ', '']",pos
142,"['as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten . ', '']",pos
143,"[""like mike doesn't win any points for originality . it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism . "", '']",pos
144,"[""it's a hoot and a half , and a great way for the american people to see what a candidate is like when he's not giving the same 15-cent stump speech . "", '']",pos
145,"['far from perfect , but its heart is in the right place . . . innocent and well-meaning . ', '']",pos
146,"['a sad , superior human comedy played out on the back roads of life . ', '']",pos
147,"['waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality . ', '']",pos
148,"['tim allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy . ', '']",pos
149,"['more a load of enjoyable , conan-esque claptrap than the punishing , special-effects soul assaults the mummy pictures represent . ', '']",pos
150,"['enormously likable , partly because it is aware of its own grasp of the absurd . ', '']",pos
151,"[""here's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you . "", '']",pos
152,"[""it's an old story , but a lively script , sharp acting and partially animated interludes make just a kiss seem minty fresh . "", '']",pos
153,"['must be seen to be believed . ', '']",pos
154,"[""ray liotta and jason patric do some of their best work in their underwritten roles , but don't be fooled : nobody deserves any prizes here . "", '']",pos
155,"[""everything that has to do with yvan and charlotte , and everything that has to do with yvan's rambunctious , jewish sister and her non-jew husband , feels funny and true . "", '']",pos
156,"['sweet home alabama "" is what it is \x96 a nice , harmless date film . . . ', '']",pos
157,"[""the year's happiest surprise , a movie that deals with a real subject in an always surprising way . "", '']",pos
158,"[""fans of behan's work and of irish movies in general will be rewarded by borstal boy . "", '']",pos
159,"[""its mysteries are transparently obvious , and it's too slowly paced to be a thriller . [but it's] worth recommending because of two marvelous performances by michael caine and brendan fraser . "", '']",pos
160,"[""the film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are . "", '']",pos
161,"[""stephen earnhart's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens . "", '']",pos
162,"['a solidly seaworthy chiller . ', '']",pos
163,"['if you can get past the fantastical aspects and harsh realities of "" the isle "" you\'ll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else . ', '']",pos
164,"[""there are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it's a welcome return to the roots of a genre that should depend on surprises . "", '']",pos
165,"['a well-made thriller with a certain level of intelligence and non-reactionary morality . ', '']",pos
166,"[""there's enough science to make it count as educational , and enough beauty to make it unforgettable . "", '']",pos
167,"['remains a solid , if somewhat heavy-handed , account of the near-disaster . . . done up by howard with a steady , if not very imaginative , hand . ', '']",pos
168,"[""makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugees of iran's borderlands . "", '']",pos
169,"['for a good chunk of its running time , trapped is an effective and claustrophobic thriller . ', '']",pos
170,"['most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness . ', '']",pos
171,"['nair does capture the complexity of a big family and its trials and tribulations . . . ', '']",pos
172,"['the seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going . ', '']",pos
173,"[""rare is the 'urban comedy' that even attempts the insight and honesty of this disarming indie . "", '']",pos
174,"[""ranks among willams' best screen work . "", '']",pos
175,"['engagingly captures the maddening and magnetic ebb and flow of friendship . ', '']",pos
176,"['an experience so engrossing it is like being buried in a new environment . ', '']",pos
177,"[""it's traditional moviemaking all the way , but it's done with a lot of careful period attention as well as some very welcome wit . "", '']",pos
178,"['thoroughly enjoyable . ', '']",pos
179,"[""maybe it's just because this past year has seen the release of some of the worst film comedies in decades . . . but honestly , analyze that really isn't all that bad . "", '']",pos
180,"['a droll , well-acted , character-driven comedy with unexpected deposits of feeling . ', '']",pos
181,"[""this is simply the most fun you'll ever have with a documentary ! "", '']",pos
182,"['a very funny movie . ', '']",pos
183,"[""watching haneke's film is , aptly enough , a challenge and a punishment . but watching huppert , a great actress tearing into a landmark role , is riveting . "", '']",pos
184,"['a cop story that understands the medium amazingly well . ', '']",pos
185,"[""one of the best , most understated performances of [jack nicholson's] career . "", '']",pos
186,"['britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway . ', '']",pos
187,"[""those outside show business will enjoy a close look at people they don't really want to know . "", '']",pos
188,"['the kind of nervous film that will either give you a mild headache or exhilarate you . ', '']",pos
189,"['watching beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it . ', '']",pos
190,"[""children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted . "", '']",pos
191,"['a fascinating and fun film . ', '']",pos
192,"['tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure . ', '']",pos
193,"['this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance . ', '']",pos
194,"['i admired this work a lot . ', '']",pos
195,"[""whether you're moved and love it , or bored or frustrated by the film , you'll still feel something . "", '']",pos
196,"[' . . . there are enough moments of heartbreaking honesty to keep one glued to the screen . ', '']",pos
197,"['my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts . she must have a very strong back . ', '']",pos
198,"['a smart , sweet and playful romantic comedy . ', '']",pos
199,"['australian actor/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation . ', '']",pos
200,"['without heavy-handedness , dong provides perspective with his intelligent grasp of human foibles and contradictions . ', '']",pos
201,"['solid , lump-in-the-throat family entertainment that derives its power by sticking to the facts . ', '']",pos
202,"['as an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting . ', '']",pos
203,"['it is interesting and fun to see goodall and her chimpanzees on the bigger-than-life screen . ', '']",pos
204,"[""it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke . "", '']",pos
205,"['a somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race . ', '']",pos
206,"['it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya . ', '']",pos
207,"[""narc may not get an 'a' for originality , but it wears its b-movie heritage like a badge of honor . "", '']",pos
208,"[""with the film's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved . "", '']",pos
209,"[""[drumline] is entertaining for what it does , and admirable for what it doesn't do . "", '']",pos
210,"['at its best early on as it plays the culture clashes between the brothers . ', '']",pos
211,"['[a] rare , beautiful film . ', '']",pos
212,"['an unabashedly schmaltzy and thoroughly enjoyable true story . ', '']",pos
213,"['a thoughtful look at a painful incident that made headlines in 1995 . ', '']",pos
214,"['you walk out of the good girl with mixed emotions \x97 disapproval of justine combined with a tinge of understanding for her actions . ', '']",pos
215,"['tsai ming-liang has taken his trademark style and refined it to a crystalline point . ', '']",pos
216,"['purely propaganda , a work of unabashed hero worship , it is nonetheless -- and likely inadvertently -- a timely and invaluable implicit reminder of the role that u . s . foreign policy has played in the rise of castro . ', '']",pos
217,"['now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism . ', '']",pos
218,"[""we get some truly unique character studies and a cross-section of americana that hollywood couldn't possibly fictionalize and be believed . "", '']",pos
219,"['though this film can be clumsy , its ambitions are equally -- and admirably -- uncommercial . ', '']",pos
220,"['daring , mesmerizing and exceedingly hard to forget . ', '']",pos
221,"[""the dangerous lives of altar boys' take on adolescence feels painfully true . "", '']",pos
222,"[""moore's performance impresses almost as much as her work with haynes in 1995's safe . "", '']",pos
223,"[""visits spy-movie territory like a novel you can't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last . "", '']",pos
224,"['an absorbing , slice-of-depression life that touches nerves and rings true . ', '']",pos
225,"['mr . parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom . ', '']",pos
226,"['the result is something quite fresh and delightful . ', '']",pos
227,"['all but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure . ', '']",pos
228,"[""despite its many infuriating flaws -- not the least of which is amy's self-absorbed personality -- amy's o's honesty will win you over . "", '']",pos
229,"[""this is one of polanski's best films . "", '']",pos
230,"['day is not a great bond movie , but it is a good bond movie , which still makes it much better than your typical bond knock-offs . ', '']",pos
231,"['polished korean political-action film is just as good -- and bad -- as hollywood action epics . is this progress ? ', '']",pos
232,"['elling , portrayed with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone . ', '']",pos
233,"[""denis and co-writer michele petin's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing . lead provocatuers testud and parmentier give superlative performances"", '']",pos
234,"['an absorbing trip into the minds and motivations of people under stress as well as a keen , unsentimental look at variations on the theme of motherhood . ', '']",pos
235,"['i admired it , particularly that unexpected downer of an ending . ', '']",pos
236,"['the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air . ', '']",pos
237,"['remarkably accessible and affecting . ', '']",pos
238,"['never mind whether you buy the stuff about barris being a cia hit man . the kooky yet shadowy vision clooney sustains throughout is daring , inventive and impressive . ', '']",pos
239,"['a triumph of art direction over narrative , but what art direction ! ', '']",pos
240,"[""behan himself knew how to spin a tale and one can't help but think he'd appreciate this attempt to turn his life into art . "", '']",pos
241,"[""jir\xed hubac's script is a gem . his characters are engaging , intimate and the dialogue is realistic and greatly moving . the scope of the silberstein family is large and we grow attached to their lives , full of strength , warmth and vitality . . "", '']",pos
242,"[""moore's complex and important film is also , believe it or not , immensely entertaining , a david and goliath story that's still very much playing itself out . "", '']",pos
243,"[""the additional storyline is interesting and entertaining , but it doesn't have the same magical quality as the beginning of the story . i like the new footage and still love the old stuff . "", '']",pos
244,"['though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium . ', '']",pos
245,"[""you might not buy the ideas . but you'll definitely want the t-shirt . "", '']",pos
246,"['provides an intriguing window into the imagination and hermetic analysis of todd solondz . ', '']",pos
247,"['windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live . ', '']",pos
248,"['presents an astute appraisal of middle american musical torpor and the desperate struggle to escape it . ', '']",pos
249,"['just what makes us happy , anyway ? ', '']",pos
250,"['a thoughtful , moving piece that faces difficult issues with honesty and beauty . ', '']",pos
251,"['one of the greatest romantic comedies of the past decade . ', '']",pos
252,"[""you wouldn't call the good girl a date movie ( an anti-date movie is more like it ) , but when it's good , it's good and horrid . "", '']",pos
253,"[""benefits from a strong performance from zhao , but it's dong jie's face you remember at the end . "", '']",pos
254,"['this is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever . ', '']",pos
255,"['the director , steven shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun . ', '']",pos
256,"[""it ultimately stands forth as an important chronicle of the abuses of one of latin america's most oppressive regimes . "", '']",pos
257,"['the movie has a soft , percolating magic , a deadpan suspense . ', '']",pos
258,"['a well-made and often lovely depiction of the mysteries of friendship . ', '']",pos
259,"['using his audience as a figurative port-of-call , dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead . ', '']",pos
260,"[' . . . understands that a generation defines its music as much as the music defines a generation . ', '']",pos
261,"['the transporter is as lively and as fun as it is unapologetically dumb', '']",pos
262,"[""as a witness to several greek-american weddings -- but , happily , a victim of none -- i can testify to the comparative accuracy of ms . vardalos' memories and insights . "", '']",pos
263,"['has it ever been possible to say that williams has truly inhabited a character ? it is now . ', '']",pos
264,"[""by presenting an impossible romance in an impossible world , pumpkin dares us to say why either is impossible -- which forces us to confront what's possible and what we might do to make it so . "", '']",pos
265,"['an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video . ', '']",pos
266,"['an incendiary , deeply thought-provoking look at one of the most peculiar ( and peculiarly venomous ) bigotries in our increasingly frightening theocracy', '']",pos
267,"['all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit . ', '']",pos
268,"[' "" its successes are also tempered with elements which prove the direct antithesis of what it gets right . "" ', '']",pos
269,"[""it's solid and affecting and exactly as thought-provoking as it should be . "", '']",pos
270,"[""this is such a dazzlingly self-assured directorial debut that it's hard to know what to praise first . "", '']",pos
271,"[""parker holds true to wilde's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness . "", '']",pos
272,"[""m\xfcnch's genuine insight makes the film's occasional overindulgence forgivable . "", '']",pos
273,"['thankfully , the film , which skirts that rapidly deteriorating line between fantasy and reality . . . takes a tongue-in-cheek attitude even as it pushes the croc hunter agenda . ', '']",pos
274,"[""ultimately , the message of trouble every day seems to be that all sexual desire disrupts life's stasis . "", '']",pos
275,"[""if you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite . "", '']",pos
276,"['the film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime . ', '']",pos
277,"['there are a few stabs at absurdist comedy . . . but mostly the humor is of the sweet , gentle and occasionally cloying kind that has become an iranian specialty . ', '']",pos
278,"['a wonderful character-based comedy . ', '']",pos
279,"['it would be interesting to hear from the other side , but in talk to her , the women are down for the count . ', '']",pos
280,"['an endearingly offbeat romantic comedy with a great meet-cute gimmick . ', '']",pos
281,"['the unique tug-of-war with viewer expectations is undeniable , if not a pleasure in its own right . ', '']",pos
282,"[""it uses an old-time formula , it's not terribly original and it's rather messy -- but you just have to love the big , dumb , happy movie my big fat greek wedding . "", '']",pos
